Date; Latitude (°); Longitude (°); Altitude (from ground, in m); Heading (°); Speed (km/h); Valid crc
lun. 12. août 14:17:23 2013; 43.6309; 1.37744; 140.644; 346.43; 0; 1
lun. 12. août 14:17:23 2013; 43.6309; 1.37744; 140.644; 185.04; 0; 1
lun. 12. août 14:17:24 2013; 43.6309; 1.37744; 140.644; 183.45; 0; 1
lun. 12. août 14:17:24 2013; 43.6309; 1.37744; 140.644; 181.47; 0; 1
lun. 12. août 14:17:24 2013; 43.6309; 1.37744; 140.644; 179.67; 0; 1
lun. 12. août 14:17:25 2013; 43.6309; 1.37744; 140.644; 179.21; 0; 1
lun. 12. août 14:17:25 2013; 43.6309; 1.37744; 140.644; 177; 0; 1
lun. 12. août 14:17:26 2013; 43.6309; 1.37744; 140.644; 5.77; 0; 1
lun. 12. août 14:17:26 2013; 43.6309; 1.37744; 140.644; 4.07; 0; 1
lun. 12. août 14:17:27 2013; 43.6309; 1.37744; 140.644; 4.53; 0; 1
lun. 12. août 14:17:27 2013; 43.6309; 1.37744; 140.644; 4.02; 0; 1
lun. 12. août 14:17:28 2013; 43.6309; 1.37744; 140.644; 5.04; 0; 1
lun. 12. août 14:17:28 2013; 43.6309; 1.37744; 140.644; 174.85; 0; 1
lun. 12. août 14:17:28 2013; 43.6309; 1.37744; 140.644; 175.19; 0; 1
lun. 12. août 14:17:29 2013; 43.6309; 1.37744; 140.644; 175.93; 0; 1
lun. 12. août 14:17:29 2013; 43.6309; 1.37744; 140.644; 167.97; 0; 1
lun. 12. août 14:17:30 2013; 43.6309; 1.37744; 140.644; 134.12; 0; 1
lun. 12. août 14:17:30 2013; 43.6309; 1.37744; 140.644; 154.48; 0; 1
lun. 12. août 14:17:31 2013; 43.6309; 1.37744; 140.644; 182.32; 0; 1
lun. 12. août 14:17:31 2013; 43.6309; 1.37744; 140.644; 200.18; 0; 1
lun. 12. août 14:17:31 2013; 43.6309; 1.37744; 140.644; 211.8; 0; 1
lun. 12. août 14:17:32 2013; 43.6309; 1.37744; 140.644; 206.33; 0; 1
lun. 12. août 14:17:32 2013; 43.6309; 1.37744; 140.644; 171.6; 0; 1
lun. 12. août 14:17:33 2013; 43.6309; 1.37744; 140.644; 169.89; 0; 1
lun. 12. août 14:17:33 2013; 43.6309; 1.37744; 140.644; 176.61; 0; 1
lun. 12. août 14:17:34 2013; 43.6309; 1.37744; 140.644; 172.98; 0; 1
lun. 12. août 14:17:34 2013; 43.6309; 1.37744; 140.644; 187.8; 0; 1
lun. 12. août 14:17:35 2013; 43.6309; 1.37744; 140.644; 208.88; 0; 1
lun. 12. août 14:17:35 2013; 43.6309; 1.37744; 140.644; 210.55; 0; 1
lun. 12. août 14:17:36 2013; 43.6309; 1.37744; 140.644; 213.86; 0; 1
lun. 12. août 14:17:36 2013; 43.6309; 1.37744; 140.644; 213.86; 0; 1
lun. 12. août 14:17:36 2013; 43.6309; 1.37744; 140.644; 215.62; 0; 1
lun. 12. août 14:17:37 2013; 43.6309; 1.37744; 140.644; 217.39; 0; 1
lun. 12. août 14:17:37 2013; 43.6309; 1.37744; 140.644; 217.39; 0; 1
